,song_id,artist_id,album_id,track_id,artist_name,album_name,track_name
18,SOAIOOJ12A8C1385D2,ARP7ILI1187B9AE9F7,3016,TRAZQET128F42A0449,Phantom Planet,Phantom Planet,After Hours
19,SOSVFAE12A6D4FC676,AROXIDV1187B9B222F,6095,TRBBOFI128F4291250,HAMMERFALL,Renegade,Always will be
20,SOSBJFI12A58A791C9,ARZ3U0K1187B999BF4,9270,TRBDQVN128F425CF6D,Cabas,Contacto,Machuca
21,SOBQLSC12AB0185043,ARI3W2K1187FB37DC5,8294,TRBHPBE128F931417E,Ivete Sangalo,Ivete Sangalo,Eternamente
22,SOARZVZ12AB01870DD,AR1LOGZ1187B990FB4,2042,TRBJOSO128F9342C69,Mike Stern,Voices,Spirit
23,SODGYCB12AB0185292,ARDCQM61187B9951CE,10279,TRBKEVW128F9308F98,Sneaky Sound System,Sneaky Sound System,I Love It
24,SONQRQZ12A8C1358F0,ARVWN671187B99E4A2,9933,TRBKXOC128F426138B,Oxymoron,Best Before 2000,Faces From Below
25,SOLGDPF12A8C13ABA7,ARQI60P1187FB464C9,12220,TRBKYKJ128F934BD17,The Ocean,Precambrian,Cryogenian
26,SOQQOVB12A6D4FA151,ARDRT321187B98E34D,13692,TRBLZJT128F1499910,Illapu,De Libertad Y De Amor,Golpe Tocuyano
27,SORMEBB12A6D4FA4F3,AR4HL8H1187FB493DD,9146,TRBMXVQ128F14995EB,Scooter,Our Happy Hardcore,Hysteria
28,SOHMNXY12A67AD86B1,AR3VF281187B9B4451,5651,TRBNVRY128EF345FB6,Field Music,Field Music,Like When You Meet Someone Else
29,SOFPTDG12A67020925,ARRWSRA1187FB3AFEB,2188,TRBPSHJ128E0791F3B,Sparta,Wiretap Scars,Air
30,SOKHMPY12A6D4F8B70,ARBOLPL1187B9B1D6A,7903,TRBQGEL128F147B8F9,Jimmy Bosch,Soneando Trombon,Cha Cha Gabriel (Album Version)
31,SOZYCCF12A6D4FF07A,AR3AL881187FB44B52,11803,TRBROBG128F424D670,Jens Lekman,Night Falls Over Kortedala,Kanske Ar Jag Kar i Dig
32,SOPTMGP12A6D4FCB35,ARETGM71187B99195D,17180,TRBRQRI128F421B48D,Masterplan,Masterplan,Crawling From Hell
33,SODQDEI12A8C13E72E,ARJQ36L1187FB5546F,15772,TRBSRMP128F428B4DA,Noe Venable,The Summer Storm Journals,Ice Dragons
34,SOPMPYA12AC4687AD9,ARBWX4K1187B9B0BFE,12359,TRBTHSN12903CE76AF,The Raveonettes,Lust Lust Lust,Dead Sound
35,SOYTAOY12A8AE46645,ARS86AJ1187B9B4225,734,TRBURIA128F4260AC0,Janis Joplin,Pearl,A Woman Left Lonely
36,SOJGQRZ12AB017D8BF,AREAZSA12086C12524,14264,TRBWFQE128F92F91E6,Azaxx,The Exotic Delight Bay,The Pygmy Ballad
37,SONPNPC12A8C13BD31,AR0O23H1187FB517D3,10843,TRBXZQK128F4297ED6,Miracle Fortress,Five Roses,Hold Your Secrets To Your Heart
38,SOESQXU12AB017E84E,ARBR4UG1187B9B5A9D,8394,TRBZESF128F930D1FA,Casper & The Cookies,The Optimist's Club,Sid From Central Park
39,SOIHKGF12A8C13C5B4,ARGBE8R1187FB4D4FA,6634,TRBZPFQ128F42A1001,Armored Saint,Raising Fear,Out On A Limb
40,SOIPYXS12AB0187DA5,ARL26PR1187FB576E5,3052,TRCCOVW12903CDE51F,Camera Obscura,Underachievers Please Try Harder,I Dont Want To See You
41,SOOAXHN12A8C1383D3,AR28PJ31187B990E80,1713,TRCCOYD128F428CD1D,The Tony Rich Project,Birdseye,My Stomach Hurts
42,SOWQHZW12A6D4F6604,AR88MEK1187FB57475,3049,TRCDFEQ128F1464CA7,Courtney Love,America's Sweetheart,Almost Golden
43,SOIETIB12A6701FDE2,ARZHSES1187FB58AAC,308,TRCEVAI128E0791A76,Cream,Disraeli Gears,Tales Of Brave Ulysses
44,SOCKUWT12AB01876D7,ARUNAM11187B98B490,15758,TRCGGTO12903CDA5DE,Broken Social Scene,Forgiveness Rock Record,Sweetest Kill
45,SOFPZJX12A582A2A25,ARK6UM7119B3402F94,14185,TRCKJGY128F9343646,16 Frames,Where It Ends,Where It Ends
46,SOSPARS12A6D4F969A,AR9YWMS1187FB43A34,1629,TRCKPSF128F148A1B1,Dinosaur Jr,Green Mind,Muck
47,SOVQKRA12A6D4FAA7B,ARK7J1C1187B98E5DB,18405,TRCLIFG128F1495B4E,Jeremiah Freed,Jeremiah Freed,Reasons
48,SOMFTHT12AF72A07E5,ARM8DAD1187B993E2E,598,TRCMBAR128F1456CCE,Guy,Guy,'Round And 'Round (Merry Go 'Round Of Love)
49,SOYHXKE12A8C13E333,ARFCH671187FB51492,11526,TRCOQLA128F42A8D78,Linda Thompson,Versatile Heart,Katy Cruel
50,SONZWBP12AB018BB4B,AR81DGA1187B9A0A43,13757,TRCPDQN12903CAD2B2,Reik,Un Dia Mas,Un Dia Mas
51,SONHWUF12AF72A329E,ARAGB841187B98EC07,14094,TRCQVLL128F932F63D,Lenine,Labiata,Magra
52,SOSOQPL12AB018605D,ARRUOKP1187B9909F1,19422,TRCRGVG12903CCA6B4,Chris Stills,100 Year Thing,Rattlesnakes  (LP Version)
53,SOKTPJA12A8C13B099,ARXVCQ91187FB55765,16769,TRCSDFU128F427F15D,The Orchids,Unholy Soul,Peaches
54,SOZIDYV12A6701C416,ARX16TQ1187B9899C9,9915,TRCTJHP128E0787879,Oysterhead,The Grand Pecking Order,Mr. Oysterhead (LP Version)
55,SOVOWEK12A58A7BEFB,ARR9XGB1187B9912E6,16799,TRCUJQO128E078EF87,Boyz II Men,Christmas Interpretations,Share Love
56,SOROCEM12AB018B9EA,ARDQQIL126A031DF10,15736,TRCURTQ12903CE35C9,Standard Fare,The Noyelle Beat,I Know It's Hard
57,SOKBIOT12B0B80B6FB,AREKQXQ1187FB45D0E,3116,TRCWGWB128EF363C7C,Luomo,The Present Lover,Cold Lately
58,SORFXFY12A6D4FE8A9,AR1F2QS1187FB374C0,7680,TRCWZOX128F421DEE9,Rupaul,Reworked,Hollywood U.S.A. (Pigeon Forge Vocal)
59,SOIKKBK12AB018EAD7,ARTNM7F1187FB47D3B,10591,TRCXXKZ12903CDE900,The Bastard Fairies,Memento Mori,Memento Mori
60,SOVJUEY12A58A77AF7,ARK2HUJ11C8A4164B7,19963,TRCZCDX128F429C1BF,Pygmy Lush,Bitter River,Big Black River
61,SODJOCR12A6D4F59C1,ARAOYXM1187FB524F6,2962,TRDBGAT128F145303B,Nelly Furtado,Folklore,Picture Perfect
62,SOXETAN12AB0186223,ARI1UQF1187FB54148,17012,TRDBOIZ128F9338F01,Etran Finatawa,Desert Crossroads,Naanaaye
63,SOEDUJZ12AF729F758,ARI4O061187B991624,11404,TRDEAPK128F93379E8,Matt Nathanson,Some Mad Hope,Detroit Waves
64,SODWVUX12A6D4F57A1,AR6E3PI1187FB457C1,10778,TRDERZK128EF36758F,Ola Podrida,Ola Podrida,Eastbound
65,SORAEXM12A6D4F7314,ARIH95M1187FB59927,10252,TRDEVNH128EF3634DA,Black Lips,Let It Bloom,Punk Slime
66,SOFAAUR12A58A79F36,ARM8DAD1187B993E2E,598,TRDFMPJ128F9320F48,Guy,Guy,You Can Call Me Crazy
67,SOVPEDE12A58A7F220,ARPZYK91187FB3C5D8,3961,TRDIGHE128F14B0B14,Jad Fair & Daniel Johnston,It's Spooky,First Day At Work
68,SOSWFUQ12AB017E9CE,AR2DUAO1187B99DDA4,3011,TRDJFHR12903CB0D20,FC Kahuna,Machine Says Yes,Microcuts
69,SOPCGJV12AB0182B92,ARHCRIW122988F9BA6,14574,TRDMQEF128F92F51EC,Leslie Mendelson,Swan Feathers,Easy Love (Album Version)
70,SONIWYY12A8C13F049,AR4QT4U11C8A4174C3,13522,TRDOANU128F92D75B3,Joseph Arthur & The Lonely Astronauts,Temporary People,Drive
71,SOMJWHD12A8C132C22,ARYMRIN122988F54BF,10235,TRDSELI128F4248FA7,Mike Dillon's Go-Go Jungle,Battery Milk,The Blame Game
72,SOLLMSZ12A8C136BDF,ARXYIEH1187FB3A5AB,2593,TRDTSAC128F42855C3,Justin Guarini,Justin Guarini,Sorry
73,SOVSFYE12A6D4F9FB8,ARY8SEL1187B9A06F4,8247,TRDWNYJ128F148A0C9,Left Alone,Dead American Radio,Dead American Radio
74,SOJQCAO12AB0183B8A,ARSAIUN1187FB398D3,314,TRDYULZ128F932BB19,Creedence Clearwater Revival,Green River,Green River
75,SOVPZJL12AB01899B4,ARM6D9O1187B9ABC29,15565,TRDZAPR12903C9D5FC,Shearwater,The Golden Archipelago,God Made Me
76,SOBILMJ12A8C13E3C1,ARXGKVD1187FB54D8F,4174,TRDZJNF128F429B04A,Plain White T S,All That We Needed,Breakdown
77,SOAJWAC12AB018350F,AR3JMC51187B9AE49D,11918,TRDZUAI128F425E6C1,Backstreet Boys,Unbreakable,Unsuspecting Sunday Afternoon
78,SONPSMG12A58A7A005,ARBDCQP12086C139C0,13313,TRDZWSK128F42B45B2,Remedy Drive,Daylight Is Coming,All Along (Album)
79,SONSUHB12A8C134B05,ARLDX1T1187B991E69,17017,TREAPDF128F4235602,Joe Veras,La Travesia,Chiquilla Chiquita
80,SOTJRPY12A8C141445,ARIYOSC12086C14599,14901,TRECHMM128F92E2F36,Jónsi & Alex,Riceboy Sleeps,Stokkseyri
81,SOBHQMY12AB018599C,AR2IQVG1187B98DEAB,4032,TREDJJC128F931A310,Kid Koala,Carpal Tunnel Syndrome,Like Irregular Chickens
82,SOKXXZP12A6D4F7489,ARN4X0U1187B9AFF37,9009,TREFTZD128F14584DE,Wendy & Lisa,Eroica,Skeleton Key
83,SOXCHKQ12A6D4FA570,ARM0RY81187B9AF248,18373,TREGIAN128F14ACD94,Jerry Goldsmith,The 13th Warrior,Valhalla/Viking Victory
84,SOVVMHW12AB0187814,ARF1HWO1187B9A11EF,10341,TREHHLQ128F93546D2,Perpetual Groove,Livelovedie,Crapshoot
85,SOAWRUT12A58A7AD00,ARMF52V1187FB48BAC,12768,TREJZJG128F4232289,Slim Cessna's Auto Club,Cipher,Scac 101
86,SOCYXSE12A6D4F8D54,ARD1ECA1187FB3D4E8,9621,TREKIDY128F1470D6B,One Dove,Morning Dove White,Fallen
87,SOFLFRI12A8C1438EC,ARERLPG1187FB3BB39,6093,TREKXJN128F92D2C37,Tom Waits,Swordfishtrombones,Trouble's Braids
88,SOHITSG12A6D4FA760,AR4WVZH1187FB47434,6386,TRENKYG128F931B2EC,The Herbaliser feat. Wildflower,Something Wicked This Way Comes,Good Girl Gone Bad
89,SOFUIUU12A6D4F771D,ARO7PQN1187FB3C99C,9632,TRENQYP128F14722FD,I'm From Barcelona,Let Me Introduce My Friends,Treehouse
90,SOIBTHF12A8C13F653,AR1ZBU21187B9952F8,12022,TRENZKO128F4292184,Bobb Trimble,Iron Curtain Innocence,Glass Menagerie Fantasies
91,SOUOOXS12A67AD86AC,AR3VF281187B9B4451,5651,TREPTSZ128EF345FB1,Field Music,Field Music,Pieces
92,SOSZMXG12A8C1322AF,AROY6XW1187B991121,1405,TRESETQ128F426B02F,Steve Vai,Alien Love Secrets,Ya-Yo Gakk
93,SOZGYID12B0B80BB27,ARVAC3K1187FB4DED4,10431,TRESJYI128F14A2E29,Kaiser Chiefs,"Yours Truly, Angry Mob",My Kind Of Guy
94,SOUSQRS12A6D4FA7E9,ARDB4UV1187FB3E9CD,6810,TRESVVW128F42ACEA6,Mylo,Destroy Rock & Roll,Soft Rock
95,SOASACT12A58A77EB8,ARHSLWQ1187B9A8FAA,9198,TRETOYK12903CFAB3A,Dustin O'Halloran,"Piano Solos, Vol. 2",Opus 30
96,SOXDFWX12AB017FB47,ARN1BSR1187FB42F1C,11182,TREWPPQ128F92F14A0,The Methadones,This Won't Hurt,Falling Forward
97,SOSPIAL12A8C133B61,ARMD3XX1187B9ACF84,1841,TREXDDT128F426A27D,Cypress Hill,Cypress Hill,Latin Lingo
98,SOWEYHS12AB01833A9,ARJPRV411A348EFE4B,10710,TREXWOG128F9316AB0,Rupa & the April Fishes,Extraordinary Rendition,Les abeilles
99,SOXHVRV12A8C13E93D,ARMAC4T1187FB3FA4C,3415,TREYVMM128F4290F8E,The Dillinger Escape Plan,Miss Machine,Panasonic Youth
100,SOVEFCP12A6D4F761B,ARMH10M1187FB4184F,3028,TREZFTP128EF368687,fIREHOSE,If'n,Backroads
101,SOAKPOM12AB018A522,ARWF4LO1187FB59924,5572,TREZTXY12903CB101E,The Rakes,Capture/Release,Binary Love
102,SOGUPIJ12A8C13AEA1,ARVXV1J1187FB5BF88,12618,TRFAGYB128F427A836,Foals,Antidotes,Tron
103,SOVMVFH12AB0184F26,ARRESDK1187FB4E6DA,9585,TRFBNQX128F92E3A87,Daughtry,Daughtry,Crashed
104,SOTYMSA12AB018089E,ARPZ50C1187FB5355F,7696,TRFCDGO128F932CCAC,The Acacia Strain,The Dead Walk,Demolishor
105,SOAGLYF12AB0181073,ARRDKQM11F4C83D597,13789,TRFCOPR128F92F19DE,Legendary Pink Dots,Plutonium Blonde,Savannah Red
106,SOIPFGR12B0B8063CB,ARR1R5V1187FB4D234,2295,TRFDMXT128E0791FB8,The All-American Rejects,The All-American Rejects,Drive Away
107,SORNMSL12A8AE4829A,ARUNARY1187FB49C60,17775,TRFDNDV128F42298E1,Tito Rojas,Por Derecho Propio,Te Quedaras Conmigo
108,SOLPOCH12A8C137F14,ARZ5LST1187FB5BF3D,13544,TRFGQPC128F4253DEE,Fulanito,Americanizao,Asi Es Que Vivo Yo!
109,SOZWRLB12AAFF4155E,ARAFBFM12454A38551,19137,TRFGZMW12903CE539E,Golden Triangle,Golden Triangle,Witchita
110,SOUIXTN12AB0188082,ARBN2NY1187B9A8775,16262,TRFIIYZ12903CD0A43,Master Musicians Of Bukkake,Totem One,Eaglewolf
111,SOERHRU12AB0187760,ARNYBGM1187FB54F1A,6682,TRFIUUZ12903CAE1AB,Univers Zero,Heresie,Vous Le Saurez En Temps Voulu
112,SOFGCHT12A8C13D4E9,ARU4RUX1187B9A981A,13102,TRFLCED128F4274A5F,Gavin Rossdale,Wanderlust,Beauty In The Beast
113,SOTLROC12A58A7B8D0,AR2UQQ51187B9AC816,19107,TRFLDMT128F4267499,Gipsy Kings,Love & Liberte,Love & Liberte
114,SORWVFA12A6D4FA4EF,AR4HL8H1187FB493DD,9146,TRFMHBY128F14995E6,Scooter,Our Happy Hardcore,Last Minute
115,SOCJQCT12AC95F0271,ARWSMGO12298900446,14310,TRFQBAH12903CFF929,La Bien Querida,Romancero,Los Estados Generales
116,SOFQIJD12A8C13E6E3,ARVAOCN12454A4CD5D,11353,TRFQMWT128F42969BB,Sharkey & C-Rayz Walz,Monster Maker,Electric Avenue
117,SOGJDKJ12A8C13B25A,ARUBRZO1187B9B585B,18475,TRFQXTJ128F428DA66,Gigi D'Alessio,Quando La Mia Vita Cambierà,Bellissima
118,SOJNOAI12A58A7A08A,ARMH10M1187FB4184F,16594,TRFSIOC128F42662C3,Firehouse,Hold Your Fire,Hold Your Fire
119,SOSLXKV12A6D4F7240,ARTLO011187FB532F6,9243,TRFSKRS128F14636A4,Urban Species,Listen,Hide And Seek
120,SONKCOZ12A8C140424,ARMAC4T1187FB3FA4C,11995,TRFTTOI128F42956FA,The Dillinger Escape Plan,Ire Works,Black Bubblegum
121,SOAOFDK12A8AE46B33,AR0DYTO1187FB4B6AE,11697,TRFUZPY128F423BCDF,Loney_ Dear,Sologne,The City_ The Airport
122,SORWDIH12A6D4F64E4,AR9O6V81187FB3E38B,2541,TRFVKXJ128F146228F,Ed Harcourt,Here Be Monsters,God Protect Your Soul
123,SOQQMNF12A58A7F914,ARAC72R1187FB38D84,2315,TRFVKYH128F422DE79,Nada Surf,Let Go,Paper Boats
124,SOXSTYS12A81C2189C,ARI35U51187FB4A189,7565,TRFYJOL128F4220E1E,Chiasm,Relapse,Delay
125,SORBYRQ12A8C13B2AE,AR79HN11187FB3C74E,4322,TRFYYDX128F429C7FF,Patrick Wolf,Lycanthropy,Pigeon Song
126,SOYWWIV12AB0182117,AR4BSBD1187B9ACD3A,13471,TRFZAOU128F92E0181,One Block Radius,One Block Radius,Stand Up
127,SOSNEVW12B0B80B7F4,ARK84KY1187FB4599A,4323,TRGASJP128F4264794,Keren Ann,Nolita,Midi Dans Le Salon De La Duchesse
128,SOWJMWB12A670206C6,AR3ZL6A1187B995B37,6430,TRGAWWT128E0788BC1,De-Phazz,Natural Fake,Keep It Simple
129,SOGJBID12A8C13FF0F,ARBE6LE1187B99131D,12199,TRGAXWR128F931FB70,Common Rider,This Is Unity Music,Firewall
130,SOPZLQG12AB018B6AE,AR6OOVR1187B98DA0E,17836,TRGCEMW128F9344DD1,Flat Duo Jets,Two Headed Cow,Itty Bitty Everything
131,SOJEYFA12AB01813BC,AR1T75N1187B99A372,16430,TRGCJWH128F9313C96,Dolorean,Not Exotic,Spoil Your Dawn
132,SOMGDMV12A8C14445F,AR1OBRC1187FB59AD4,14822,TRGHDMK128F934127F,Behemoth,Evangelion,Transmigrating Beyond Realms Ov Amenti
133,SOCMWJD12A3F1ED69E,ARMF52V1187FB48BAC,12768,TRGHVKX128F4232286,Slim Cessna's Auto Club,Cipher,Americadio
134,SOBUFYY12A58A782FE,ARL92EA1187B9A1944,1455,TRGJCFI128F14B0F98,Alannah Myles,Alannah Myles,Just One Kiss (LP Version)
135,SOVSBCU12A6D4F9696,AR9YWMS1187FB43A34,1629,TRGKFAV128F148A1AD,Dinosaur Jr,Green Mind,I Live For That Look
136,SOYVPUP12A8C136F45,ARMS97V1187B99DD98,11051,TRGORPX12903CD6D4C,Josh Rouse,Country Mouse City House,Sweetie
137,SOZVAIE12A6701D273,ARJ56D11187B9B3846,1022,TRGOVMB128E07944D2,Parliament,Mothership Connection,Handcuffs
138,SOXQXQA12A6D4F8070,ARSFKG71187FB3D66F,318,TRGRWRJ128F9334DFC,Crosby_ Stills & Nash,"Crosby, Stills & Nash",Pre-Road Downs
139,SOOAFUG12A58A7D36F,ARBQH151187B9994FD,6067,TRGVWCJ12903CF85D3,Need New Body,Need New Body,Gamble On / Banji
140,SOSEMXT12A58A7D0B9,ARCXFK31187FB35FC1,14970,TRGWQJM128F9327FAD,Hush Arbors,Yankee Reality,Devil Made You High
141,SOERUYY12A6D4FD44A,AR22PYY1187FB36E5C,11941,TRGXVTP128F421CE0E,Muscles,Guns Babes Lemonade,Chocolate Rasberry Lemon And Lime
142,SOZDPGH12A8C13E1A0,ARAQLGN1187FB4F8CD,8602,TRGYNCV128F4277E44,Catatonia,Paper Scissors Stone,Godspeed (Album Version)
143,SOTHAMQ12A6D4F3641,ARAZNJM1187FB4F0C9,10868,TRGZYIZ128EF34DA10,Balkan Beat Box,Nu Med,Joro Boro
144,SOTLVZJ12AB018323E,ARDD4NI1187B9AD333,6988,TRHAMVW128F931F58E,Ralph Tresvant,Rizz Wa Faire,Another Shot (Retail)
145,SOKAUYT12AB018A959,AR7ZKHQ1187B98DD73,12189,TRHAVDP12903CB5773,Glad,Acapella Hymns,The Master Has Come/O Worship the King
146,SOSBDPU12AF72A1F4F,ARMUV6V11A348F055A,18508,TRHBBUI128F428507B,Lonely Drifter Karen,Grass Is Singing,Casablanca
147,SOQGVSY12A6D4FBB01,ARAL4561187B999C82,17387,TRHBRZQ128F149F637,Corinne Bailey Rae,Corinne Bailey Rae,Seasons Change
148,SOWPNRD12A6D4FC8E2,ARVRAUT1187FB39AFB,15980,TRHBTVI128F423129E,Jarabe De Palo,Adelantando,Adelantando
149,SOALECL12AB0180443,AR4GKTH1187FB4C8DE,2430,TRHCLOK128F9308237,Autechre,Draft 7.30,P.:NTIL
150,SOXXZTH12AB018C601,ARWEPRZ1187FB4E2BB,1722,TRHEEDD12903CC5138,Gabriela Anders,Wanting,Feels So Good (Album Version)
151,SOFMQYM12AB0187088,ARTHHMI1187B9B85CF,2762,TRHHNXH128F931C2CC,9 Lazy 9,Sweet Jones,Cosa
152,SOVWLOR12AB0188254,ARFF4B41187FB48151,15756,TRHHUER12903CB9FE8,The New Pornographers,Together,Sweet Talk_ Sweet Talk
153,SOAPSLE12A8C131934,AR6ENUY1187B994158,12179,TRHIHHF128F423D478,Sia,Some People Have Real Problems,Lentil
154,SOCAYQV12AB018B566,AR26N5C1187FB52DDB,7357,TRHIYXC12903CB6350,World Party,Dumbing Up,What Does it Mean Now?
155,SOGMBLK12AB0188D42,ARNRPI31187B9AC699,14250,TRHKTTU12903CB81B3,The Crystal Method,Divided By Night,Drown In The Now
156,SOATGVW12AB0186982,ARM1IMV1187B995003,1772,TRHMNDS128F9326A61,Unwound,Leaves Turn Inside You,December
157,SOUMFMQ12A6D4F8BAF,AR40FOA1187B98EABB,12392,TRHMTXQ128F147CEE9,Kudai,Sobrevive,Siempre
158,SOUZELZ12AB0181696,ARI1AB81187FB4CEAD,12733,TRHPWHI128F930A993,Awesome Color,Electric Aborigines,Evil Rose
159,SOPZLCO12A8C13978A,AR6RSHA1187FB3F03F,7426,TRHRCJZ128F4270342,Raised Fist,Dedication,Killing Revenues
160,SOYVLOH12A8C141B0D,ARLWWAE1187B9B0F17,17931,TRHSEHH128F92C292E,Entombed,Morning Star,Ensemble Of The Restless
161,SOSWMAO12A8C13F023,AR5JDDD1187FB460C4,11546,TRHTIQL128F429238C,Octopus Project,"Hello, Avalanche",Ghost Moves
162,SOCBXMK12AB0181EF1,ARIZAYZ1187B9B99A8,17691,TRHVQUG128F92FCBFE,U-God,Golden Arms Redemption,Knockin At Your Door
163,SOBGOLW12AB018C123,ARJDKEW1187B994B54,2639,TRHWEGJ12903CA49E1,Skerik's Syncopated Taint Septet,Skerik's Syncopated Taint Septet,Christina
164,SOHXIXU12A6D4FC54D,ARXIN8U1187B99109B,277,TRHXINB128F4227B62,Uncle Kracker,Double Wide,Whiskey & Water (Amended LP Version)
165,SOXTIBP12A8C13FD62,AR5JDDD1187FB460C4,11546,TRHXMBQ128F42923A3,Octopus Project,"Hello, Avalanche",Loud Murmuring
166,SOWEDYD12A6D4F8D6A,ART5VJS1187B99C129,6621,TRHYLRG128F92E8A04,Souls She Said,As Templar Nites,Tastefaker
167,SOPQQNK12A8C13BF46,AR4ZYGI1187B995AA2,2306,TRIAGDA128F4296176,Postal Service,Give Up,Recycled Air (Album)
168,SOCOPIE12AB0186D11,ARAG5LK1187B9AEDF1,9324,TRIAIRN128F934C6ED,The Bloody Hollies,If Footmen Tire You...,Gasoline
169,SOBZQYQ12A58A77C94,ARMOXAG1187FB54041,11855,TRIAOVI128F425A16D,The Coral,Roots & Echoes,She's Got A Reason
170,SOSNAQO12A8C133270,AR89NF11187FB37A94,8647,TRIBBHO128F4281C00,The Hidden Cameras,Awoo,She's Gone
171,SORGUBH12A8C140938,ARWCUWR1187FB470C3,17883,TRIFIUT128F4293D8E,Alex Bueno,Como Nadie,Como Nadie
172,SOLQXIG12A6D4F8308,ART3IOF1187B98C34F,19388,TRIGVGC128F1485076,El Arrebato,Un Cuartito Pa Mis Cosas,No Me Preguntes
173,SOMECEJ12AB018D7C8,AR0YG4N1187B9893F9,5155,TRIIZIQ12903CB2929,Silver Apples,Silver Apples,I Have Known Love
174,SOKTPXJ12A8C13781E,ARC23S41187B9A920E,7394,TRIKKNT128F425D02D,Charlie Musselwhite,Delta Hardware,One Of These Mornings
175,SOEMXVF12AF72A5136,AR3JMC51187B9AE49D,14950,TRILRGB128F93369B6,Backstreet Boys,This Is Us,Bigger
176,SOKBFLG12AB01897D6,ARDXSJN1187FB3AFEA,16380,TRIMCHP12903CB64EE,The Jacka,The Street Album,Fuck Everybody
177,SOQRYGX12A6D4F7991,ART3IOF1187B98C34F,19388,TRINHGK128F148507D,El Arrebato,Un Cuartito Pa Mis Cosas,El Hombre Importante
178,SOIKZTD12A8C145796,ARNJ2C31187B9B3239,150,TRIPPEM128F92F8F24,Nick Lowe,Dig My Mood,What Lack Of Love Has Done
179,SOXZUKH12AB018312E,ARWYVP51187B98C516,5228,TRIPQBR12903CA71F1,The Suicide Machines,War Profiteering Is Killing Us All,Red Flag
180,SOLDXGU12A58A7AF51,ARJXNYH11E2835EB15,13807,TRISELG128F92CEB7E,Michna,Magic Monday,Raw Paw
181,SOTQKLS12A8C143657,ARDQ62L1187FB56FF0,14138,TRISMEF128F92D9E8C,Blue October,Approaching Normal,Been Down
182,SOYJIZK12A6701ED10,ARWX3TC1187B9A9EE4,1128,TRISVCC128E0793CCC,S Club 7,S Club,Bring It All Back
183,SOEWLFZ12A8C1346B1,ARDO3YN1187B9B9A51,4007,TRITHHE128F423DCDA,Codeine,Frigid Stars LP,Gravel Bed (Album)
184,SORZMEP12A8C132574,ARI8TPF1187B9B72B1,17321,TRITOEJ128F423DDD2,Fastbacks,Zucker,Parts (Album)
185,SOFMXOX12A8C13C25B,ARDTIOA1187B99E779,12624,TRITPKR128F427FFA1,Cloud Cult,Feel Good Ghosts (Tea-Partying Through Tornadoes),Journey of the Featherless
